"index","fips","state","geo_name","population_2020","mass_ideology_2020","mass_ideology_2020_se","pres_pctD_20","pres_pctD_16","pres_pctD_08","percent_women","percent_white","percent_black","percent_hispanic","percent_asian_american","geo_type"
"1","103076","Alabama","Auburn city",76143,-0.088349769599621,0.0777266113979132,0.470240748996879,0.456318738327454,0.852830562153603,0.501529959097012,0.685890030286945,0.183595091641428,0.0333780872388922,0.0910013426171668,"City"
"2","107000","Alabama","Birmingham city",200733,-0.145305154208975,0.0433660972848698,0.822813587877681,0.825319162724386,0.820044103992572,0.528175150849988,0.237911981799083,0.698535542188538,0.0386204232749403,0.0121386548090647,"City"
"3","120104","Alabama","Decatur city",57938,0.212484338755151,0.0736994280577997,0.406781261805818,0.360281733272087,0.372059109469181,0.5214398472778,0.608282242373068,0.225650721392122,0.134604794595984,0.0048276368442307,"City"
"4","121184","Alabama","Dothan city",71072,0.192381210541619,0.0640274868582457,0.353084125509256,0.317087778401647,0.328329515706806,0.525348337113736,0.592394025981677,0.335773411494388,0.0341119981147082,0.0154652841193625,"City"
"5","135896","Alabama","Hoover city",92606,-0.00457871309757572,0.0655308943249865,0.423450789793439,0.335829954286009,0.284689058336192,0.528054006457294,0.679530378632228,0.18849427648958,0.061226885823305,0.0588552979160552,"City"
"6","137000","Alabama","Huntsville city",215006,0.0449970869655678,0.0477950866521384,0.533098741952872,0.486285554794347,0.522801411357433,0.516851069468298,0.576758621744072,0.307442194690626,0.0623232204832356,0.0306341383861909,"City"
"7","145784","Alabama","Madison city",56933,0.049676226926623,0.079505347783106,0.451492227117799,0.378187988482106,0.33906876707551,0.505544630729621,0.705029699758753,0.146897236807428,0.0475601597502382,0.0676100310174955,"City"
"8","150000","Alabama","Mobile city",187041,-0.0294796130680349,0.0501422867919515,0.60417087712207,0.589207507820646,0.574237467747881,0.528624390858679,0.417855192404638,0.514787430683919,0.0252163501932448,0.0229373214585784,"City"
"9","151000","Alabama","Montgomery city",200603,-0.0228106632788716,0.0510809305970832,0.725142435609687,0.687741453754504,0.607795418549851,0.531566749923667,0.307048147239755,0.60799467422153,0.0370451940355285,0.0328656592402757,"City"
"10","177256","Alabama","Tuscaloosa city",99600,-0.119721876244225,0.0632634345745737,0.598961075427328,0.559991210079109,0.553467066814089,0.519891337156656,0.491397524901902,0.440004024549754,0.0324982392594828,0.0282523392695442,"City"
"11","203000","Alaska","Anchorage municipality",291247,0.0573756690421106,0.0491153005180709,0.51116605691203,0.470047562838495,0.378734267394918,0.490104963359918,0.57901891112012,0.0556704402601429,0.0917347741805806,0.112775141296831,"City"
"12","404720","Arizona","Avondale city",89334,-0.130432136661735,0.0722734043215948,0.629817634893777,0.619528441530979,0.545665220749896,0.515294561933535,0.309856495468278,0.109670033987915,0.519141805135952,0.0366432212990937,"City"
"13","407940","Arizona","Buckeye city",91502,0.243303977736114,0.0700294075708543,0.422761299616701,0.395202795221682,0.406070880762089,0.465903877036017,0.481804886441844,0.0820142234457444,0.381538196834136,0.0275292498279422,"City"
"14","410530","Arizona","Casa Grande city",53658,0.140540570644612,0.0785588206294757,0.445509198571622,0.434017971758665,0.422151328108745,0.5131978509694,0.437963811474673,0.0345354248647872,0.437424756976264,0.0276175588018615,"City"
"15","410670","Arizona","Casas Adobes CDP",70973,-0.0687095335275654,0.0606722718903132,0.54642432821861,0.514064516129032,0.472145473237808,0.515605848986689,0.635991790895876,0.0223897614229114,0.266810135963287,0.0498532052561069,"City"
"16","411230","Arizona","Catalina Foothills CDP",52401,-0.0474315858731012,0.0747356865803385,0.631215990517752,0.593620734229576,0.517623558218957,0.51987949419273,0.786855353391208,0.0104847980338526,0.116006659531454,0.0658025131803227,"City"
"17","412000","Arizona","Chandler city",275987,0.00288592624248935,0.0498659471354746,0.549949437685778,0.513567138567139,0.466452358344869,0.506011270637773,0.584553527614646,0.05614344735884,0.207774682221835,0.119924651354218,"City"
"18","423620","Arizona","Flagstaff city",76831,-0.130752502527884,0.0732007202189935,0.692409014116771,0.67115169586284,0.626453211358872,0.504240214358719,0.645258418275738,0.0199165768901412,0.193226706444573,0.0398331537802823,"City"
"19","427400","Arizona","Gilbert town",267918,0.0367638620548626,0.0537336538121899,0.440245245612747,0.395663427761458,0.363991885219857,0.514992559217937,0.693805651705625,0.0389305006289722,0.171002326785993,0.0689279518527958,"City"
"20","427820","Arizona","Glendale city",248325,0.0060398982691185,0.0479123130870377,0.512533614553124,0.487266481176537,0.435910734811741,0.505675650591373,0.472465124912737,0.0676679593080266,0.38221158696275,0.0489481988434828,"City"
"21","428380","Arizona","Goodyear city",95294,0.185683185396136,0.0727681636431294,0.46989247311828,0.443366154282071,0.408154953161063,0.526085279516243,0.555872142937129,0.0766445608490625,0.279926839282826,0.052742904779087,"City"
"22","439370","Arizona","Lake Havasu City city",57144,0.292044132214868,0.0700909067773997,0.197443506048847,0.198478974053087,0.300703915530136,0.503807688778787,0.797375906046426,0.00319295348197082,0.167006147352968,0.0129920176162951,"City"
"23","444270","Arizona","Marana town",51908,0.170499002519289,0.0625875589185163,0.471378216425802,0.424592521572387,0.406950135703262,0.518209324410875,0.624859206254555,0.0290642461185097,0.256410256410256,0.068839859537534,"City"
"24","444410","Arizona","Maricopa city",58125,0.103441577336329,0.0783783163767288,0.494807059022207,0.456503554997909,0.487486033519553,0.510333340187954,0.49906434432129,0.118776861543523,0.287174319850295,0.0551522753912275,"City"
